City,country,"Meal, Inexpensive Restaurant ","Meal for 2 People, Mid-range Restaurant, Three-course ",McMeal at McDonalds (or Equivalent Combo Meal) ,Domestic Beer (0.5 liter draught) ,Imported Beer (0.33 liter bottle) ,Cappuccino (regular) ,Coke/Pepsi (0.33 liter bottle) ,Water (0.33 liter bottle)  ,"Milk (regular), (1 liter) ",Loaf of Fresh White Bread (500g) ,"Rice (white), (1kg) ",Eggs (regular) (12) ,Local Cheese (1kg) ,Chicken Fillets (1kg) ,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,Apples (1kg) ,Banana (1kg) ,Oranges (1kg) ,Tomato (1kg) ,Potato (1kg) ,Onion (1kg) ,Lettuce (1 head) ,Water (1.5 liter bottle) ,Bottle of Wine (Mid-Range) ,Domestic Beer (0.5 liter bottle) ,Cigarettes 20 Pack (Marlboro) ,One-way Ticket (Local Transport) ,Monthly Pass (Regular Price) ,Taxi Start (Normal Tariff) ,Taxi 1km (Normal Tariff) ,Taxi 1hour Waiting (Normal Tariff) ,Gasoline (1 liter) ,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ","Fitness Club, Monthly Fee for 1 Adult ",Tennis Court Rent (1 Hour on Weekend) ,"Cinema, International Release, 1 Seat ","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child ",1 Pair of Jeans (Levis 501 Or Similar) ,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",1 Pair of Nike Running Shoes (Mid-Range) ,1 Pair of Men Leather Business Shoes ,Apartment (1 bedroom) in City Centre ,Apartment (1 bedroom) Outside of Centre ,Apartment (3 bedrooms) in City Centre ,Apartment (3 bedrooms) Outside of Centre ,Price per Square Meter to Buy Apartment in City Centre ,Price per Square Meter to Buy Apartment Outside of Centre ,Average Monthly Net Salary (After Tax) ,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate "
North Vancouver,Canada,20,70,12,6,2.25,4.93,2.29,2.24,2.35,3.82,4,4.83,10.76,10.84,12.2,4.84,1.96,4.93,3.13,3,3.02,3.15,3.37,19.5,2,15,3,110,3.5,2.17,33.28,1.46,30000,25500,101.94,0.1,93.75,65.74,17.33,15,1333.33,18280,69.25,51.88,89.12,132.5,2006.25,1660,3900,3222.86,11328.72,8845.33,6243.75,3.21
Whitby,Canada,15,80,11.67,6,3.3,3.69,2.25,1.53,3.23,2.58,3.07,3.32,19.33,15.05,10.84,4.14,1.54,5.53,4.39,2.18,2.18,2.7,2.16,17.49,2.79,15,3.75,90,3.88,1.9,30,1.19,26147.5,25550,250,0.28,70,46.67,13.5,13.25,990,22500,61.5,47.5,101.67,163,1625,1287.5,2360,1887.5,4470.95,4000,6183.33,3.84
Burlington,Canada,15,75,9,5.25,2.44,4.94,2.14,1.75,1.01,4.02,7.71,3.51,14.32,13.42,13.72,5.7,2.35,5.87,9.25,1.65,5.35,3.32,2.99,12,2.27,10,1.5,50,7.5,3.11,17.5,0.75,30097.5,26800,170.41,0.15,83.33,56.25,8,11,1055.33,20000,40.6,36.66,83.5,91.25,1325,1090,2530,2120,3810.42,1973.38,5083.33,3.5
Pickering,Canada,16,100,10,6,2.5,4.38,1.92,1.56,2.09,2.33,4,3.5,4.5,8.5,9,1,1,1,1,2,1,1,2,16.5,2,15,3.25,140,3.12,1,50,0.99,25000,25333.33,191.67,0.5,70,55,37.5,12,1000,12000,65,36.67,82.25,116.67,1937.5,1262.5,2725,1975,4819.45,4360.65,5066.67,3.03
Brossard-Canada,Canada,25,50,20,6.25,2,5.25,1.99,2,2.37,3.29,2.89,3.21,18,13,15,3.5,1.57,3.75,3.75,2,2.5,1.85,2,20,1.61,12,3.5,100,3.5,1.75,39,1.47,21000,21684.5,142.93,0.32,60,35,50,12.25,730.66,7000,62.5,62,90,150,1229,760,1500,1100,2025.49,1601.39,4958.33,4.54
Toronto,Canada,20,80,12,8,3.44,4.8,2.37,1.89,2.99,2.99,3.16,3.6,15.91,13.76,16.48,3.93,1.58,3.71,3.88,2.59,2.54,2.34,1.85,15,3.07,16.56,3.25,156,4,2,35,1.46,26947.5,25224.66,153.01,0.45,74.13,62.21,26.5,15,1721.42,26321.43,72.4,44.48,112.88,138.62,2046.51,1764.49,3494.55,2850,11627.1,9148.3,4916.43,3.74
Markham,Canada,20,100,12,5.5,3.4,4.06,2.33,2,2.74,2.38,2.49,3.3,8.8,14.65,17.46,3.44,1.52,3.38,3.91,2.51,2.44,2.17,1.9,18,3.1,15,4,152,4.25,2.2,26,1.18,25000,24566.67,137.47,0.54,60.39,50.62,15,15,1301.67,9850,58.12,49.38,118.33,147,2014.29,1718.57,2792.86,2443.75,15607.67,7542.61,4815.07,2.53
Fort-Saskatchewan-Canada,Canada,15,45,11.25,7.5,5.5,6,2.59,2,3.49,4,6.15,4.25,26,10.5,12.5,5.47,2.62,6.3,4.8,5.5,3.67,2.79,3.25,25,3.5,20,2.5,41,3.5,3.12,15,1.05,28000,36000,233.95,0.7,92.75,45.25,10,16.5,950,8000,70.33,31,103.33,133.33,1037.5,1058.33,1625,1450,2798.62,2152.78,4727.78,3.62
Burnaby,Canada,15,70,10,5.5,2.94,3.88,2.22,1.61,1.72,3,2.8,3.46,16.42,11.84,13.12,4.32,1.64,4.04,5.3,4.22,3.81,2.04,1.89,15.5,4.67,15,3,131,3.5,1.9,32.93,1.44,29000,26125,114.88,0.3,81.87,48.12,19.5,16,883.33,11700,69.12,40,92.25,96.67,1656.25,1434.38,3037.5,2562.5,8400.79,5020.03,4596.94,3.64
Red Deer,Canada,16,69,10,5.5,5,4.54,2.12,1.35,2.01,2.65,4.1,3.27,12.28,12.04,17.01,4.62,2.02,3.74,4.36,2.27,2.84,2.22,2.16,16.5,3.51,15,2.5,72.5,3.58,1.9,34,1.13,29000,27000,243.72,0.38,89.86,54.29,40,13,883.33,18000,59.37,50,100.44,115.44,892.75,828.57,1307.14,1306.25,2621.66,4505.92,4533.8,2.71
